FilePath,Sensor,GaitParam,Algorithm,Participant,X,Y
c:\GP-WearablesAnalysis\examples\logresults_14-07-24_13-36.csv,pelvis,StepLength,DTW,LLPU_P01,0.374148969,10.42659641
c:\GP-WearablesAnalysis\examples\logresults_14-07-24_13-36.csv,pelvis,StepLength,DTW,LLPU_P01,0.401503966,11.59018267
c:\GP-WearablesAnalysis\examples\logresults_14-07-24_13-36.csv,pelvis,StepLength,DTW,LLPU_P01,0.431231337,13.23153073
c:\GP-WearablesAnalysis\examples\logresults_14-07-24_13-36.csv,pelvis,StepLength,MDP,LLPU_P01,0.374148969,0.705057746
c:\GP-WearablesAnalysis\examples\logresults_14-07-24_13-36.csv,pelvis,StepLength,MDP,LLPU_P01,0.401503966,1.004580686
c:\GP-WearablesAnalysis\examples\logresults_14-07-24_13-36.csv,pelvis,StepLength,MDP,LLPU_P01,0.431231337,1.382930241
c:\GP-WearablesAnalysis\examples\logresults_14-07-24_13-36.csv,pelvis,StepLength,HMM-SM,LLPU_P01,0.374148969,0.680852436
c:\GP-WearablesAnalysis\examples\logresults_14-07-24_13-36.csv,pelvis,StepLength,HMM-SM,LLPU_P01,0.401503966,0.581777239
c:\GP-WearablesAnalysis\examples\logresults_14-07-24_13-36.csv,pelvis,StepLength,HMM-SM,LLPU_P01,0.431231337,0.513100659
c:\GP-WearablesAnalysis\examples\logresults_14-07-24_13-36.csv,upper,StepLength,DTW,LLPU_P01,0.374148969,69.83419536
c:\GP-WearablesAnalysis\examples\logresults_14-07-24_13-36.csv,upper,StepLength,DTW,LLPU_P01,0.401503966,75.90339719
c:\GP-WearablesAnalysis\examples\logresults_14-07-24_13-36.csv,upper,StepLength,DTW,LLPU_P01,0.431231337,81.14034363
c:\GP-WearablesAnalysis\examples\logresults_14-07-24_13-36.csv,upper,StepLength,MDP,LLPU_P01,0.374148969,4.036778641
c:\GP-WearablesAnalysis\examples\logresults_14-07-24_13-36.csv,upper,StepLength,MDP,LLPU_P01,0.401503966,5.479748546
c:\GP-WearablesAnalysis\examples\logresults_14-07-24_13-36.csv,upper,StepLength,MDP,LLPU_P01,0.431231337,6.549498589
c:\GP-WearablesAnalysis\examples\logresults_14-07-24_13-36.csv,upper,StepLength,HMM-SM,LLPU_P01,0.374148969,0.575217277
c:\GP-WearablesAnalysis\examples\logresults_14-07-24_13-36.csv,upper,StepLength,HMM-SM,LLPU_P01,0.401503966,0.587219189
c:\GP-WearablesAnalysis\examples\logresults_14-07-24_13-36.csv,upper,StepLength,HMM-SM,LLPU_P01,0.431231337,0.478980982
c:\GP-WearablesAnalysis\examples\logresults_14-07-24_13-36.csv,lower,StepLength,DTW,LLPU_P01,0.374148969,50.94516918
c:\GP-WearablesAnalysis\examples\logresults_14-07-24_13-36.csv,lower,StepLength,DTW,LLPU_P01,0.401503966,54.48785581
c:\GP-WearablesAnalysis\examples\logresults_14-07-24_13-36.csv,lower,StepLength,DTW,LLPU_P01,0.431231337,58.49019975
c:\GP-WearablesAnalysis\examples\logresults_14-07-24_13-36.csv,lower,StepLength,MDP,LLPU_P01,0.374148969,3.203964643
c:\GP-WearablesAnalysis\examples\logresults_14-07-24_13-36.csv,lower,StepLength,MDP,LLPU_P01,0.401503966,4.516006537
c:\GP-WearablesAnalysis\examples\logresults_14-07-24_13-36.csv,lower,StepLength,MDP,LLPU_P01,0.431231337,5.175769038
c:\GP-WearablesAnalysis\examples\logresults_14-07-24_13-36.csv,lower,StepLength,HMM-SM,LLPU_P01,0.374148969,0.862291268
c:\GP-WearablesAnalysis\examples\logresults_14-07-24_13-36.csv,lower,StepLength,HMM-SM,LLPU_P01,0.401503966,0.782712548
c:\GP-WearablesAnalysis\examples\logresults_14-07-24_13-36.csv,lower,StepLength,HMM-SM,LLPU_P01,0.431231337,0.615661402
c:\GP-WearablesAnalysis\examples\logresults_14-07-24_13-36.csv,pelvis,StepLength,DTW,LLPU_P02,0.541739789,15.53069786
c:\GP-WearablesAnalysis\examples\logresults_14-07-24_13-36.csv,pelvis,StepLength,DTW,LLPU_P02,0.51542788,15.57963803
c:\GP-WearablesAnalysis\examples\logresults_14-07-24_13-36.csv,pelvis,StepLength,DTW,LLPU_P02,0.484653713,15.76484041
c:\GP-WearablesAnalysis\examples\logresults_14-07-24_13-36.csv,pelvis,StepLength,MDP,LLPU_P02,0.541739789,0.949179238
c:\GP-WearablesAnalysis\examples\logresults_14-07-24_13-36.csv,pelvis,StepLength,MDP,LLPU_P02,0.51542788,0.85320691
