Path,SensorConfig,GaitParam,Method,Participant,Mean Symmetry of Group,SimilarityScore
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,pelvis,STSR,DTW,LLPU_P02,1.080851687,16.22687602
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,pelvis,STSR,DTW,LLPU_P02,1.050328621,16.13652016
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,pelvis,STSR,DTW,LLPU_P02,1.022501865,16.10714916
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,pelvis,STSR,MDP,LLPU_P02,1.111740517,0.884042102
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,pelvis,STSR,MDP,LLPU_P02,1.080851687,0.879436748
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,pelvis,STSR,MDP,LLPU_P02,1.050328621,0.883731417
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,pelvis,STSR,MDP,LLPU_P02,1.022501865,0.903681199
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,pelvis,STSR,HMM-SM,LLPU_P02,1.1117405171135095 - 1.1117405171135095,0.623203915
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,pelvis,STSR,HMM-SM,LLPU_P02,1.1117405171135095 - 1.0808516871792255,0.525165739
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,pelvis,STSR,HMM-SM,LLPU_P02,1.1117405171135095 - 1.0503286207987848,0.553079451
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,pelvis,STSR,HMM-SM,LLPU_P02,1.1117405171135095 - 1.0225018648135638,0.485485771
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,upper,STSR,DTW,LLPU_P02,1.111740517,65.97526404
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,upper,STSR,DTW,LLPU_P02,1.080851687,64.98104031
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,upper,STSR,DTW,LLPU_P02,1.050328621,65.85255749
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,upper,STSR,DTW,LLPU_P02,1.022501865,65.79681173
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,upper,STSR,MDP,LLPU_P02,1.111740517,4.351289222
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,upper,STSR,MDP,LLPU_P02,1.080851687,4.319040468
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,upper,STSR,MDP,LLPU_P02,1.050328621,4.278609389
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,upper,STSR,MDP,LLPU_P02,1.022501865,4.43150315
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,upper,STSR,HMM-SM,LLPU_P02,1.1117405171135095 - 1.1117405171135095,0.590519032
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,upper,STSR,HMM-SM,LLPU_P02,1.1117405171135095 - 1.0808516871792255,0.576650694
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,upper,STSR,HMM-SM,LLPU_P02,1.1117405171135095 - 1.0503286207987848,0.577713103
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,upper,STSR,HMM-SM,LLPU_P02,1.1117405171135095 - 1.0225018648135638,0.49104468
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,lower,STSR,DTW,LLPU_P02,1.111740517,44.22279157
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,lower,STSR,DTW,LLPU_P02,1.080851687,44.18014456
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,lower,STSR,DTW,LLPU_P02,1.050328621,45.32381158
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,lower,STSR,DTW,LLPU_P02,1.022501865,46.78817485
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,lower,STSR,MDP,LLPU_P02,1.111740517,3.104023119
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,lower,STSR,MDP,LLPU_P02,1.080851687,3.292338883
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,lower,STSR,MDP,LLPU_P02,1.050328621,3.258949016
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,lower,STSR,MDP,LLPU_P02,1.022501865,3.422706657
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,lower,STSR,HMM-SM,LLPU_P02,1.1117405171135095 - 1.1117405171135095,0.712419968
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,lower,STSR,HMM-SM,LLPU_P02,1.1117405171135095 - 1.0808516871792255,0.591665742
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,lower,STSR,HMM-SM,LLPU_P02,1.1117405171135095 - 1.0503286207987848,0.707955853
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,lower,STSR,HMM-SM,LLPU_P02,1.1117405171135095 - 1.0225018648135638,0.68303057
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,pelvis,STSR,DTW,LLPU_P03,1.114787345,10.31724464
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,pelvis,STSR,DTW,LLPU_P03,1.086217155,10.19660387
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,pelvis,STSR,DTW,LLPU_P03,1.053996687,10.22178908
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,pelvis,STSR,DTW,LLPU_P03,1.023199899,10.31869944
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,pelvis,STSR,MDP,LLPU_P03,1.114787345,0.60358689
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,pelvis,STSR,MDP,LLPU_P03,1.086217155,0.605083501
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,pelvis,STSR,MDP,LLPU_P03,1.053996687,0.590125846
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,pelvis,STSR,MDP,LLPU_P03,1.023199899,0.58800562
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,pelvis,STSR,HMM-SM,LLPU_P03,1.1147873446238434 - 1.1147873446238434,0.523352113
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,pelvis,STSR,HMM-SM,LLPU_P03,1.1147873446238434 - 1.086217154696962,0.43163527
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,pelvis,STSR,HMM-SM,LLPU_P03,1.1147873446238434 - 1.053996687060427,0.477765398
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,pelvis,STSR,HMM-SM,LLPU_P03,1.1147873446238434 - 1.0231998989586062,0.468042821
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,upper,STSR,DTW,LLPU_P03,1.114787345,42.20413169
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,upper,STSR,DTW,LLPU_P03,1.086217155,42.34953589
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,upper,STSR,DTW,LLPU_P03,1.053996687,43.73408801
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,upper,STSR,DTW,LLPU_P03,1.023199899,44.37038624
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,upper,STSR,MDP,LLPU_P03,1.114787345,2.362455023
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,upper,STSR,MDP,LLPU_P03,1.086217155,2.455994137
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,upper,STSR,MDP,LLPU_P03,1.053996687,2.545961686
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,upper,STSR,MDP,LLPU_P03,1.023199899,2.61858679
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,upper,STSR,HMM-SM,LLPU_P03,1.1147873446238434 - 1.1147873446238434,0.580252433
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,upper,STSR,HMM-SM,LLPU_P03,1.1147873446238434 - 1.086217154696962,0.559599502
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,upper,STSR,HMM-SM,LLPU_P03,1.1147873446238434 - 1.053996687060427,0.533386586
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,upper,STSR,HMM-SM,LLPU_P03,1.1147873446238434 - 1.0231998989586062,0.554136038
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,lower,STSR,DTW,LLPU_P03,1.114787345,35.75211891
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,lower,STSR,DTW,LLPU_P03,1.086217155,35.8824768
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,lower,STSR,DTW,LLPU_P03,1.053996687,38.708507
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,lower,STSR,DTW,LLPU_P03,1.023199899,40.93685916
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,lower,STSR,MDP,LLPU_P03,1.114787345,1.988826299
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,lower,STSR,MDP,LLPU_P03,1.086217155,2.170745061
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,lower,STSR,MDP,LLPU_P03,1.053996687,2.334592897
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,lower,STSR,MDP,LLPU_P03,1.023199899,2.599469435
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,lower,STSR,HMM-SM,LLPU_P03,1.1147873446238434 - 1.1147873446238434,0.705365919
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,lower,STSR,HMM-SM,LLPU_P03,1.1147873446238434 - 1.086217154696962,0.690478888
