FilePath,Sensor,GaitParam,Algorithm,Participant,X,Y
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,pelvis,STSR,DTW,LLPU_P02,1.023546216,15.97677106
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,pelvis,STSR,MDP,LLPU_P02,1.112952345,0.932992561
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,pelvis,STSR,MDP,LLPU_P02,1.081950424,0.974558313
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,pelvis,STSR,MDP,LLPU_P02,1.051489761,0.793326002
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,pelvis,STSR,MDP,LLPU_P02,1.023546216,0.925102265
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,pelvis,STSR,HMM-SM,LLPU_P02,1.113 - 1.113,0.627360744
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,pelvis,STSR,HMM-SM,LLPU_P02,1.113 - 1.082,0.577386265
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,pelvis,STSR,HMM-SM,LLPU_P02,1.113 - 1.051,0.591855629
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,pelvis,STSR,HMM-SM,LLPU_P02,1.113 - 1.024,0.534342668
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,upper,STSR,DTW,LLPU_P02,1.112952345,64.81760253
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,upper,STSR,DTW,LLPU_P02,1.081950424,64.96605333
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,upper,STSR,DTW,LLPU_P02,1.051489761,64.85297933
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,upper,STSR,DTW,LLPU_P02,1.023546216,65.18477308
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,upper,STSR,MDP,LLPU_P02,1.112952345,4.339457324
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,upper,STSR,MDP,LLPU_P02,1.081950424,4.313729251
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,upper,STSR,MDP,LLPU_P02,1.051489761,4.214276667
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,upper,STSR,MDP,LLPU_P02,1.023546216,4.30586053
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,upper,STSR,HMM-SM,LLPU_P02,1.113 - 1.113,0.580347062
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,upper,STSR,HMM-SM,LLPU_P02,1.113 - 1.082,0.519780913
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,upper,STSR,HMM-SM,LLPU_P02,1.113 - 1.051,0.49024563
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,upper,STSR,HMM-SM,LLPU_P02,1.113 - 1.024,0.474348684
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,lower,STSR,DTW,LLPU_P02,1.112952345,44.90241385
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,lower,STSR,DTW,LLPU_P02,1.081950424,44.94255223
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,lower,STSR,DTW,LLPU_P02,1.051489761,45.57523285
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,lower,STSR,DTW,LLPU_P02,1.023546216,46.92613034
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,lower,STSR,MDP,LLPU_P02,1.112952345,3.311114068
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,lower,STSR,MDP,LLPU_P02,1.081950424,3.32368925
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,lower,STSR,MDP,LLPU_P02,1.051489761,3.223089625
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,lower,STSR,MDP,LLPU_P02,1.023546216,3.369988978
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,lower,STSR,HMM-SM,LLPU_P02,1.113 - 1.113,0.751081306
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,lower,STSR,HMM-SM,LLPU_P02,1.113 - 1.082,0.603119972
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,lower,STSR,HMM-SM,LLPU_P02,1.113 - 1.051,0.749854935
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,lower,STSR,HMM-SM,LLPU_P02,1.113 - 1.024,0.699440541
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,pelvis,STSR,DTW,LLPU_P03,1.113768923,10.34729009
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,pelvis,STSR,DTW,LLPU_P03,1.087516487,10.42969264
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,pelvis,STSR,DTW,LLPU_P03,1.05350565,10.15586012
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,pelvis,STSR,DTW,LLPU_P03,1.024140619,10.39782681
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,pelvis,STSR,MDP,LLPU_P03,1.113768923,0.608507554
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,pelvis,STSR,MDP,LLPU_P03,1.087516487,0.618503718
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,pelvis,STSR,MDP,LLPU_P03,1.05350565,0.571569574
